url,name,ingredients
https://www.povarenok.ru/recipes/show/164365/,Густой молочно-клубничный коктейль,"{'Молоко': '250 мл', 'Клубника': '200 г', 'Сахар': '15 г'}"
https://www.povarenok.ru/recipes/show/1306/,Рулетики,"{'Сыр твердый': None, 'Чеснок': None, 'Яйцо куриное': None, 'Грейпфрут': None, 'Лук зеленый': None, 'Листья салата': None, 'Майонез': None}"
https://www.povarenok.ru/recipes/show/10625/,"Салат ""Баклажанчик""","{'Баклажан': '3 шт', 'Лук репчатый': '2 шт', 'Помидор': '2 шт', 'Чеснок': '1 зуб.', 'Соль': None, 'Майонез': None, 'Перец черный': None}"
https://www.povarenok.ru/recipes/show/167337/,Куриные котлеты с картофельным пюре в духовке,"{'Фарш куриный': '800 г', 'Пюре картофельное': '1 кг', 'Желток яичный': '1 шт', 'Лук репчатый': '1 шт', 'Сыр твердый': '150 г', 'Молоко': '50 мл', 'Масло сливочное': '30 г', 'Зелень': '0,5 пуч.', 'Приправа': '1,5 ч. л.', 'Масло растительное': '5 ст. л.'}"
https://www.povarenok.ru/recipes/show/91919/,Рецепт вишневой наливки,"{'Вишня': '1 кг', 'Водка': '1 л', 'Сахар': '300 г', 'Кости': '50 г', 'Корица': '8 г', 'Гвоздика': '3 шт'}"
https://www.povarenok.ru/recipes/show/167765/,Песочный пирог с тыквенным суфле,"{'Масло сливочное': '100 г', 'Сахар': '50 г', 'Яйцо куриное': '1 шт', 'Мука пшеничная': '200 г', 'Вода': '1 ст. л.', 'Тыква': '250 г', 'Молоко сгущенное': '0.5 бан.', 'Корица': '0.5 ч. л.', 'Орех мускатный': '0.25 ч. л.', 'Крахмал': '0.5 ст. л.', 'Сахарная пудра': None}"
https://www.povarenok.ru/recipes/show/100230/,Шоколадные конфеты ручной работы,"{'Какао-масло': '100 г', 'Какао тертое': '200 г', 'Сироп кленовый': '100 г', 'Ваниль': '0,5 шт'}"
https://www.povarenok.ru/recipes/show/96257/,Рыбно-тыквенный гратен,"{'Масло растительное': '3 ст. л.', 'Рыба': '400 г', 'Тыква': '100 г', 'Лук репчатый': '1 шт', 'Мука пшеничная': '3 ст. л.', 'Молоко': '300 мл', 'Сливки': '90 мл', 'Масло сливочное': '40 г', 'Сыр голландский': '75 г', 'Вино белое полусухое': '50 мл', 'Соль': None, 'Перец черный': None}"
https://www.povarenok.ru/recipes/show/139360/,"Плов с креветками из риса ""Басмати""","{'Рис': '2 стак.', 'Вода': '4 стак.', 'Морковь': '1 шт', 'Лук репчатый': '2 шт', 'Морепродукты': '500 г', 'Карри': '1 ст. л.', 'Приправа': '1 ст. л.', 'Соль': 'по вкусу', 'Масло подсолнечное': 'по вкусу'}"
https://www.povarenok.ru/recipes/show/96774/,Молочное мороженое,"{'Молоко': '450 г', 'Желток яичный': '3 шт', 'Сахар': '90 г'}"
https://www.povarenok.ru/recipes/show/23092/,Картошечка с грибами,"{'Картофель': None, 'Сало': None, 'Грибы': None, 'Зелень': None, 'Лук репчатый': None, 'Чеснок': None, 'Соль': None, 'Перец черный': None, 'Масло растительное': None}"
https://www.povarenok.ru/recipes/show/23115/,"Индийские лепешки ""Чапати""","{'Мука пшеничная': '1 стак.', 'Вода': '1/2 стак.', 'Соль': '1/2 ч. л.', 'Масло сливочное': None}"
https://www.povarenok.ru/recipes/show/156974/,Рыба «Красное и белое»,"{'Горбуша': '450 г', 'Зубатка': '350 г', 'Перец болгарский': '1 шт', 'Лук репчатый': '2 шт', 'Мак': '3 щепот.', 'Специи': '1 ч. л.', 'Соевый соус': '4 ст. л.', 'Масло растительное': '2 ст. л.', 'Чеснок': '1 зуб.'}"
https://www.povarenok.ru/recipes/show/80336/,"Закуска ""Рафаэлло крабовое""","{'Крабовые палочки': '6 шт', 'Сыр мягкий': '80 г', 'Маслины': '6 шт', 'Сыр голландский': '60 г'}"
https://www.povarenok.ru/recipes/show/21115/,"Салат ""Огни Большого Города""","{'Масло оливковое': '2 ст. л.', 'Вино белое сухое': '150 мл', 'Креветки': '900 г', 'Листья салата': '4 ст. л.', 'Огурец': '1 шт', 'Финик': '12 шт', 'Мандарин': '400 г', 'Сметана': '200 мл', 'Сыр твердый': '100 г', 'Чеснок': '3 зуб.', 'Соль': None, 'Лайм': '1 шт', 'Зелень': None}"
https://www.povarenok.ru/recipes/show/8956/,"Чашка каппучино ""Сладкая причина""","{'Кофе натуральный': None, 'Молоко': None, 'Сливки': None, 'Ванилин': None, 'Сахар': None}"
https://www.povarenok.ru/recipes/show/34234/,"Салат ""Винегретная фантазия""","{'Картофель': '7 шт', 'Свекла': '3 шт', 'Фасоль': '1 стак.', 'Огурец': '5 шт', 'Морковь': '2 шт', 'Майонез': None, 'Горчица': None, 'Лук репчатый': '1 шт'}"
https://www.povarenok.ru/recipes/show/166039/,Булочки-пирожные,"{'Мука пшеничная': '450 г', 'Разрыхлитель теста': '10 г', 'Масло сливочное': '200 г', 'Сметана': '200 г', 'Ванильный сахар': '1 пакет.', 'Соль': '0,5 ч. л.', 'Сахар': '100 г', 'Яблоко': '10 шт', 'Сок лимонный': '2 ст. л.', 'Корица': '1 ч. л.', 'Яйцо куриное': '2 шт'}"
https://www.povarenok.ru/recipes/show/148043/,Гречка с грибами портабелла или шампиньонами,"{'Крупа гречневая': '4 ст. л.', 'Шампиньоны': '3 шт', 'Лук репчатый': '1/4 шт', 'Масло оливковое': '2 ст. л.', 'Перец красный жгучий': None, 'Соль': 'по вкусу', 'Тимьян': '1/4 ч. л.'}"
https://www.povarenok.ru/recipes/show/94308/,Горбуша с баклажанами по-китайски,"{'Горбуша': '2 шт', 'Баклажан': '1 шт', 'Лук репчатый': '1 шт', 'Чеснок': '1 зуб.', 'Имбирь': '10 г', 'Перец чили': '1/4 шт', 'Масло растительное': '3 ст. л.', 'Перец сычуаньский': None, 'Перец черный': None, 'Кинза': '1 пуч.', 'Вино рисовое': '2 ст. л.', 'Уксус': '2 ст. л.', 'Соевый соус': '2 ст. л.', 'Сахар': '1 ст. л.', 'Соль': None}"
https://www.povarenok.ru/recipes/show/54322/,Курочка в индийском стиле,"{'Голень куриная': '1 кг', 'Йогурт': '250 мл', 'Лук репчатый': '1 шт', 'Лук красный': '2 шт', 'Сок лимонный': None, 'Чеснок': '4 зуб.', 'Паприка сладкая': '1 ст. л.', 'Соль': '1 ч. л.', 'Перец черный': '1/4 ч. л.', 'Имбирь': None, 'Корица': '1 ч. л.', 'Гвоздика': '1/4 ч. л.', 'Кардамон': '1/4 ч. л.', 'Кумин': '1 ст. л.', 'Кориандр': '1/4 ч. л.', 'Перец чили': '1/4 ч. л.'}"
https://www.povarenok.ru/recipes/show/134715/,Цельнозерновой хлеб на закваске для ХП,"{'Мука цельнозерновая': '375 г', 'Вода': '240 г', 'Закваска': '10 г', 'Соль': '0.75 ч. л.', 'Сахар': '0,5 ч. л.', 'Масло сливочное': '0,5 ч. л.', 'Масло подсолнечное': '1 ч. л.'}"
https://www.povarenok.ru/recipes/show/16766/,Трюфеля шоколадные,"{'Шоколад молочный': '200 г', 'Сливки': '200 мл', 'Масло сливочное': '100 г', 'Какао-порошок': '20 г', 'Миндаль': '30 г'}"
https://www.povarenok.ru/recipes/show/11125/,"Грушевый пирог ""Фантазия""","{'Груша': '7 шт', 'Печенье': '1/2 стак.', 'Масло сливочное': '150 г', 'Яйцо куриное': '3 шт', 'Сахар': '1 стак.', 'Ванилин': None, 'Орехи': None, 'Смородина черная': '1/2 стак.', 'Крахмал': '1 стак.', 'Мука пшеничная': '1 стак.', 'Разрыхлитель теста': '1 ст. л.', 'Кефир': '2/3 стак.', 'Сок': '1/3 стак.', 'Корица': None, 'Сахарная пудра': None, 'Шоколад темный': '50 г'}"
https://www.povarenok.ru/recipes/show/158435/,"Горячие бутерброды ""Сытные""","{'Хлеб': '4 ломт.', 'Яйцо куриное': '2 шт', 'Огурец соленый': '2 шт', 'Майонез': '2 ст. л.', 'Котлета': '4 шт', 'Масло сливочное': '40 г', 'Сыр твердый': '50 г', 'Лук зеленый': '0.5 пуч.'}"
https://www.povarenok.ru/recipes/show/135926/,Гренки по-новому,"{'Сливки': '200 мл', 'Хлеб': 'по вкусу', 'Яйцо куриное': '3 шт', 'Сыр сливочный': '150 г', 'Сироп фруктовый': '3 ст. л.', 'Банан': '2 шт', 'Корица': 'по вкусу', 'Сахарная пудра': 'по вкусу', 'Орехи': 'по вкусу'}"
